Büfe Adı,İlçe,Mahalle,Adres,(B)üfe / (S)atış Noktası
SOYAK BÜFE,KÜÇÜKÇEKMECE,ATAKENT MAH,227 SK.6/1 SOYAK OLİMPİAKENT TAKSİ DURAĞI YANI,B
Söğütlüçeşme,KÜÇÜKÇEKMECE,Söğütlü Çeşme,Söğütlü çeşme mh.Oğuzhan sk.no:78,B
ŞEHİT YILMAZ ÖZDEMİR BÜFE,KÜÇÜKÇEKMECE,ATAKENT MAH,HALKALI TOPLU KONUT 2.ETAP ŞEHİT YILMAZ ÖZDEMİR CD DOĞA KOLEJİ KÖŞESİ,B
TEPEÜSTÜ BÜFE,KÜÇÜKÇEKMECE,Yeni Mahalle,YENİ MAH İNÖNÜ CD T.ÜSTÜ SAĞLIK OÇAĞI YANI,B
TEVFİKBEY 3 BÜFE,KÜÇÜKÇEKMECE,CENNET MAH.,MİMAR SİNAN CAD. İLE HALİDE EDİP SK KÖŞESİNDE,B
Teyfikbey 1,KÜÇÜKÇEKMECE,Tevfik Bey,MUAMMER AKSOY CD.Ş.BİNBAŞI,B
TOKSÖZ,KÜÇÜKÇEKMECE,Yeşilova,Yeşilova mh.barbaros cd.,B
TUNA BÜFE,KÜÇÜKÇEKMECE,HALKALI MER. MAH.,TUNA CD. SULTAN REŞAT İ.Ö.OKULU ÖNÜ,B
Yahya Kemal Büfe,KÜÇÜKÇEKMECE,Cennet,Cennet mh.Yahya Kemal bayatlı cd.ptt arkası,B
Yarımburgaz Büfe,KÜÇÜKÇEKMECE,Yarımburgaz,Yarımburgaz mh.Fatih cd.no:38,B
YEL DEĞİRMENİ BÜFE,KÜÇÜKÇEKMECE,Tevfik Bey,yeldeğirmeni cad.no:39/1,B
YENİLMEZ BÜFE,KÜÇÜKÇEKMECE,HALKALI MRK.MAH.,YENİLMEZ SK. BİLGİ EVİ YANI,B
YEŞİLOVA BÜFE,KÜÇÜKÇEKMECE,YEŞİLOVA MAH.,KAHRAMANLAR CAD.340 ADA,B
Yurtaslan,KÜÇÜKÇEKMECE,Sultan Murat,Kartaltepe mh.hayırlı cd.no:36,B
DEVECİ SATIŞ NOKTASI,KÜÇÜKÇEKMECE,,CENNET MAH. MEVLANA CAD. NO: 3/C,S
DOĞAN 2 GIDA,KÜÇÜKÇEKMECE,KANARYA MAH,PAPAĞAN CD NO 49,S
DOĞUKAN KARDEŞLER,KÜÇÜKÇEKMECE,İNÖNÜ MH,YILDIRAY SK NO 7,S
EMİRSAN MİNİ MARKET,KÜÇÜKÇEKMECE,HALKALI MER.MAH.,1240 SK. NO 1/A,S
GÜNGÖR MARKET,KÜÇÜKÇEKMECE,FATİH MAH.,ALTIN SK. NO 14,S
HUZUR SATIŞ NOKTASI,KÜÇÜKÇEKMECE,,KEMALPAŞA MAH. TURNA SOK. NO:1/1,S
KARDEŞLER MARKET,KÜÇÜKÇEKMECE,TEVFİKBEY MAH.,DR ALİ DEMİR CD.NO 27,S
KEZBAN GIDA,KÜÇÜKÇEKMECE,FEVZİ ÇAKMAK MH.,KENAN SK. NO 16 /A,S
NAZIM NAYIR SAT .NOKT.,KÜÇÜKÇEKMECE,KANARYA MAH,BOZDOĞAN CD GECEKUŞU SK,S
NİMET GIDA,KÜÇÜKÇEKMECE,ATATÜRK MAH,İKİTELLİ CD. NO 197,S
OĞUZ GIDA,KÜÇÜKÇEKMECE,YARIMBURGAZ MH.,CUMHURİYET CD.GARİP SK.NO 2,S
ÖMER MARKET,KÜÇÜKÇEKMECE,SULTAN MURAT MAH,VATAN SK NO 13,S
TİMURLENK GIDA,KÜÇÜKÇEKMECE,YEŞİLOVA MAH,TANSEL CD NO 63,S
TRAKYA GIDA,KÜÇÜKÇEKMECE,SÖĞÜTLÜÇEŞME MH,ATATÜRK CD.NO:1/4,S
VATAN MARKET,KÜÇÜKÇEKMECE,TEVFİKBEY MAH.,KİRAZLI SK. NO:13 SEFAKÖY,S
VİP MARKET,KÜÇÜKÇEKMECE,İNÖNÜ MAH,ALAGEYİK CD. HABİL SK. NO 19,S
YAĞMURCA SATİŞ NOKTASI,KÜÇÜKÇEKMECE,,CUMHURİYET MH AŞIK VEYSEL CD 78/2,S
YILDIZ BAKKALİYE,KÜÇÜKÇEKMECE,SULTAN MURAT MAH,EMSAL SK NO 16,S
ZİLAN GIDA,KÜÇÜKÇEKMECE,KANARYA MAH.,GÜVERCİN CD. NO:32/A K.ÇEKMECE / İST,S
AKİL SATILMIŞ-ALTINTEPE BÜFE,MALTEPE,ALTINTEPE,ALTINTEPE MAH.GALİPBEY CD.PINARLI SK KESİŞİMİ,B
BAYRAM NAMLI - MALTEPE DOĞUŞKENT BÜFE,MALTEPE,GİRNE,GİRNE MAH. DOĞUŞKENT SİT.YANYOL,B
BİLGİN DOĞAN-FINDIKLI MERKEZ BÜFE,MALTEPE,FINDIKLI,FINDIKLI MAH.HANCIOĞLU CAD.MUHTARLIK KARŞISI,B
FİLİZ SEZER-KÜÇÜKYALI BÜFE,MALTEPE,KÜÇÜKYALI,KÜÇÜKYALI MERKEZ TAKSİ DURAĞI YANI,B
GONCA ATMACA-MALTEPE PARK BÜFE,MALTEPE,BAĞLARBAŞI,BAĞLARBAŞI MAH.MİMARSİNAN CAD. MALTEPE MERKEZ CAMİ YANI,B
İFAKAT GÖZÜTOK-MALTEPE KORUMA BÜFE,MALTEPE,FEYZULLAH,CEVİZLİ MAH.FATİH CAD.4501 ADA,B
KIYMET SATICI-ZÜMRÜTEVLER BÜFE,MALTEPE,ZÜMRÜTEVLER,ZÜMRÜTEVLER MAH.NİL CAD.KOÇ SOK,B
MEHMET ALİ YILDIRIM-FİDANLIK BÜFE,MALTEPE,ALTINTEPE,EMİNALİ PAŞA CAD.FİDANLIK İETT DURAĞI NO.1,B
ÖMER SÖZEN-ESENKENT BÜFE,MALTEPE,ESENKENT,ESENKENT MAH.KANİ PAŞA CAD.NO 105,B
A DAN Z YE GIDA,MALTEPE,CEVİZLİ MAH.,CEVİZLİ MAH.KIR SK.NO 21-1,S
ALTUS GIDA,MALTEPE,GÜLENSU,GÜLENSU MAH.ERENLER SOK. NO:59/A,S
AY GIDA,MALTEPE,ZÜMRÜTEVLER,ZÜMRÜTEVLER MAH. BEGONYALIK SOK.NO: 22/2,S
BURAK ECE UNLU MAM.,MALTEPE,ÇINAR MAH.,ÇINAR MAH.YEŞİLTEPE SK. 30 A MALTEPE,S
ELİSA GIDA,MALTEPE,ALTAYÇEŞME MAH.,ALTAYÇEŞME MAH.PALMİYELİ SK. 8-1,S
GÜR GIDA,MALTEPE,MERKEZ MAH.,MERKEZ MAH. MEKTEP CAD. NO.34/B,S
KANGÖZ GIDA,MALTEPE,BAŞİBÜYÜK MAH.,BAŞİBÜYÜK MAH.MERVE SK.NO 2 B MALTEPE,S
TAHİR KİTABEVİ,MALTEPE,BAĞLARBAŞI MAH.,BAĞLARBAŞI MAH. GÜLYOLU SOK. NO.40/1,S
UMUT GIDA,MALTEPE,GÜLSUYU MAH.,GÜLSUYU MAH.FEVZİ ÇAKMAK CD.NO 25-E,S
YÜKSEL GIDA,MALTEPE,ZÜMRÜTEVLER MAH.,ZÜMRÜTEVLER MAH.BAŞARAN SOK.NO: 15/A,S
ABDULMUTTALİP ÖZTÜRK-ESENLER BÜFE,PENDİK,ESENLER,ESENLER MH.YAYALAR CD.YAVUZSELİM CAMİ ÖNÜ,B
DOĞUKAN ÇELİK-KURTKÖY BÜFE,PENDİK,KURTKÖY,KURTKÖY MAH.ANKARA CAD.NO.131,B
DURSUN AYBAKAN-ÇAMÇEŞME BÜFE,PENDİK,ESENLER,ÇAMÇEŞME MAH.RIFAT ILGAZ CADDESİ SİVAS SOKAK KESİŞİMİ,B
EMRAH ALKAŞİ - MANOLYA BÜFE,PENDİK,ÇAMLIK,KURTKÖY-ÇAMLIK MAH. LEYLAK SOK.,B
FATİH MEHMET YILDIRIM-PENDİK TOKİ BÜFE,PENDİK,SÜLÜNTEPE,SÜLÜNTEPE MAH.YUNUS EMRE CAD.ZÜLAL SOK.,B
FİRDEVS ÖZTOSUN-ORHANGAZİ BÜFE,PENDİK,YENİŞEHİR,YENİŞEHİR MH.BAKÜ CAD.ORHANGAZİ İLKOKULU ÖNÜ,B
HAMİ KÜÇÜK - PENDİK MOSTAR BÜFE,PENDİK,DOĞU,AYDINLIYOLU CAD. ERYETİŞ SİTESİ ÖN KISMI,B
HAYDAR KOCAMAZ-BAKİ BÜFE,PENDİK,ORHANGAZİ,ORHANGAZİ MAH. ALPARSLAN TÜRKEŞ CAD. NO:77,B
HAYRETTİN ÇALIŞIR - PENDİK KAYMAKAMLIK,PENDİK,ÇAMÇEŞME,ÇAMÇEŞME MAH. C.GÜRSEL CAD. BÜLBÜL SOK.,B
İHSAN ŞAHİN - LEYLAK BÜFE,PENDİK,DUMLUPINAR,DUMLUPINAR MAH. ATATÜRK CAD. LEYLAK SOK.,B
İRFAN ESKİMEZ-ÜST KAYNARCA BÜFE,PENDİK,FEVZİÇAKMAK,FEVZİ ÇAKMAK MAH. ŞEVKET SABANCI LİSESİ ÖNÜ,B
M.HAKAN ÇİFTER-PLEVNE BÜFE,PENDİK,YENİ,YENİ MAH.PLEVNE CAD. YENİ MAH.OTO. DURAĞI YANI,B
MELDA SAATÇİOĞLU-BOSNA PARKI BÜFE,PENDİK,SAPANBAĞLARI,SAPANBAĞLARI MAH.ŞEHİT MİRALAY CAD. HEYBELİ SOKAK,B
MELEHAT AYDIN-KAVAKPINAR BÜFE,PENDİK,KAVAKPINAR,KAVAKPINAR MAH.CUMHURİYET CAD.TEPE BAŞI CAMİ YANI,B
MERVE BETÜL BUDAK-ESENYALI FATİH BÜFE,PENDİK,ESENYALI,FATİH MAH ÇİMEN SK NO 23,B
MERYEM VARICI-PENDİK LİSE BÜFE,PENDİK,KURTKÖY,KURTKÖY LİSE CD LİSE DURAĞI KARŞISI,B
NİMET UZUNÇAY-BULVAR BÜFE,PENDİK,YENİŞEHİR,EŞREF BİTLİS CAD. İLE DEDEPAŞA CAD. KESİŞİMİ BULVAR GİRİŞİ DURAK YANI,B
NURSEN KARAMAN-ÜÇ EVLER BÜFE,PENDİK,ÇINARDERE,ANKARA CAD. ÜÇ EVLER İETT DURAĞI YANI,B
ŞÜKRAN ARSLAN-ALT KAYNARCA BÜFE,PENDİK,KAYNARCA,KAYNARCA E-5 ÜST GEÇİT ALTI,B
ŞÜKRÜ GÜLDURAN - GÜLLÜBAĞLAR BAĞLAR,PENDİK,GÜLLÜBAĞLAR,GÜLLÜBAĞLAR MH. MUHSİN YAZICI OĞLU CAD. TARIK BUĞRA ANADOLU LİSE KARŞ.,B
TURGAY ŞENTÜRK-CUMHURİYET BÜFE,PENDİK,YENİŞEHİR,YENİŞEHİR MAH.CUMHURİYET BULV.TELEKOM YANI NO:95,B
UFUK COŞKUNSU-ALBAYRAK BÜFE,PENDİK,KAVAKPINAR,KAVAKPINAR MAH.ABDİİPEKÇİ CD.İLE ALBAYRAK CD KESİŞİMİ ÖZGECAN PARK ÖNÜ,B
YILMAZ ÇORUH-GÜZEL YALI BÜFE,PENDİK,GÜZELYALI,ANKARA ASFALTI İSTASYON CD KÖPRÜ GİRİŞİ,B
YUNUS USTA-YAYALAR BÜFE,PENDİK,YAYALAR,YAYALAR MAH.BARBAROS HAYRETTİN PAŞA CD. ARTUKBET İ.Ö.O KARŞISI,B
ZEKİ KOŞ-PİRİ REİS BÜFE,PENDİK,ESENYALI,ESENYALI MAH.ERBAKAN CAD. YALI SOKAK KESİŞİMİ,B
ALTUNDAŞ UNLU MAM.,PENDİK,SÜLÜNTEPE MAH.,SÜLÜNTEPE MAH. MİZAN SK.,S
BOLLUM GIDA,PENDİK,VELİBABA MAH.,VELİBABA MAH. KUMRU SOKAK NO:3,S
ÇELEBİ GIDA,PENDİK,SÜLÜNTEPE MAH.,SÜLÜNTEPE MAH. KARAYAZI SK.NO 4 A,S
ÇINAR MİNİ HAL,PENDİK,BATI MAH.,BATI MAH.SABRI TAŞKIN CD.NO 22,S
DOĞAL SÜT ÜRÜNLERİ,PENDİK,YENİ MAH.,YENİ MAH.YENİ MİTHATPAŞA CD.NO 34,S
IŞIKLAR ÖZEL BÜFE,PENDİK,KAVAKPINAR BÜFE.,KAVAKPINAR MAH.ABDİ İPEKÇİ CD. İHSAN SOK NO.4/A,S
KANDEMİR GIDA,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ MAH.İMAMI AZAM CD.NO 29,S
KAZDAL ŞARKÜTERİ,PENDİK,KAYNARCA MAH.,KAYNARCA MAH.AYDINLI YOLU CD.NO 200,S
NAZO GIDA,PENDİK,AHMET YESEVİ,AHMET YESEVİ MAH.HÜRRİYET CAD. TUNCER SOK.NO:6/B,S
ÖZÇAM MARKET,PENDİK,KAYNARCA MAH.,KAYNARCA MAH.BARBAROS CD.NO 16,S
ŞEYHLİ UNLU MAM.,PENDİK,ŞEYHLİ MAH.,ŞEYHLİ MAH.SÜLEYMAN ÇELEBİ CAD.,S
YASİN MARKET,PENDİK,GÜZELYALI MAH.,DOĞU SOKAK NO:20,S
YAVUZ ÖZEL MARKET,PENDİK,ORTA MAH.,ORTA MAH.YILDIZ CAD. NO.4,S
GÜLBEYAZ BAYSAL- Y.DOĞAN VEYSELKARANİ BÜFE,SANCAKTEPE,VEYSEL KARANİ,YUNUS MAH.VEYSEL KARANİ CAD.NO.151,B
HASAN ALİ YILDIZ - ORTADAĞ BÜFE,SANCAKTEPE,FATİH,YAKACIK CAD. ORTADAĞ FATİH MAH.,B
KELEBEK PARK GIDA,SANCAKTEPE,MERVE,MERVE MAH.KÖPRÜ SK.NO: 1,B
NESRİN YILDIZ-SARIGAZİ MERKEZ,SANCAKTEPE,MERKEZ,MERKEZ MAH.NAMIK KEMAL CAD.OKUL SOK.NO.1,B
SABİRE TERCANLI-KEMAL TÜRKLER,SANCAKTEPE,KEMAL TÜRKLER,KEMAL TÜRKLER MAH.ATATÜRK CAD.,B
SAİT TUTTU - ELA BÜFE,SANCAKTEPE,ABDURRAHMANGAZİ,ABDURRAHMANGAZİ MAH. SEMT HORON SOK.,B
SALİH KASAPOĞLU - Y.DOĞAN DÖRTYOL BÜFE,SANCAKTEPE,MERVE,YENİDOĞAN DÖRTYOL IŞIKLAR,B
ÇEÇENLER GIDA,SANCAKTEPE,MEVLANA MAH.,MEVLANA MAH.VEYSEL KARANİ CDNO 29,S
DERECİLER MARKET,SANCAKTEPE,ATATÜRK MAH.,ATATÜRK MAH.UYSAL CAD. NO.53,S
EREN GIDA,SANCAKTEPE,İNÖNÜ MAH.,İNÖNÜ MAH.İSTEK SK.NO 33,S
İPEK GIDA,SANCAKTEPE,VEYSEL KARANİ,VEYSELKARANİ MAH.ŞİMŞEK SK.NO 25,S
KELEBEK PARK GIDA,SANCAKTEPE,MERVE,MERVE MAH.KÖPRÜ SK.NO: 1,S
ORUÇ PASTA,SANCAKTEPE,SARIGAZİ MAH,ATATÜRK CADDESİ NO:106,S
ÖZYILDIRIM GIDA,SANCAKTEPE,EYÜPSULTAN MAH.,EYÜP SULTAN MAH.KIZILAY CD.NO.48,S
TAŞKIN ÖZEL BÜFE,SANCAKTEPE,MECLİS MAH.,MECLİS MAH.SEMT UĞUR SOK. NO.1/A,S
YENİDOĞAN MERKEZ ÖZEL,SANCAKTEPE,YUNUS EMRE MAH.,YUNUS EMRE MAH.BARBOROS CD.NO.3,S
ALÇIN BÜFE,SARIYER,MİTHATPAŞA MAH,AKBABA SK 12/5,B
AYAZAĞA 1 BÜFE,SARIYER,AYAZAĞA MAH,MERKEZ HALK EKMEK BÜFESİ 1,B
Bahçeköy,SARIYER,Bahçeköy Merkez,Bahçeköy Cumhuriyet alanı.Cami sk.No:10,B
Büyükarmutlu,SARIYER,Fatih Sultan Mehmet,"Fatih sultan mh.geçici Büyük Armutlu Mah. Yolu, Cami Yakını",B
Cumhuriyet,SARIYER,Cumhuriyet,Cumhuriyet mh.Araba yolucd Merkez Camii Yanı,B
Derbent,SARIYER,İstinye,Camlıktepe mh.Şen cd.no.23/1,B
Ferahevler,SARIYER,Ferahevler,Ferahevler mh.çelik.çıkmazı sk.no:20/1SARIYER,B
FSM,SARIYER,Fatih Sultan Mehmet,Fatih sultan mehmet mh.Evren paşa cd.No:70,B
İstinye,SARIYER,İstinye,İstinye mh.Çayır cd.Mezarlık yanI,B
Kocataş,SARIYER,Kocataş,Kılıçpınar cd.Cami yanı.,B
Küçükhal,SARIYER,Çayırbaşı,Çayırbaşı Cad. Uzun Fıstık Sk. Girişi,B
Ömürtepe,SARIYER,Tarabya,Kireç burnu araba yolu cd.,B
Ptt Evler Büfe,SARIYER,Ptt Evleri,Ptt evleri yavuz selim cd.cami yanı,B
Reşitpaşa,SARIYER,Reşitpaşa,Reşitpaşa maslak cd.Borsa yanı,B
Sarıyer Merkez,SARIYER,Maden,Sarıyer merkez mh. Otobus sondurağı.,B
Yeniköy Bağlar,SARIYER,Yeniköy,Bağlşar Mevkii Cad. Yunus Sk. girişi,B
ARSMAR GIDA,SARIYER,AYAZAĞA MAH,G/21 SK NO 4/1,S
BARLA GIDA,SARIYER,DERBENT MH.,AKGÜN CD.NO/36,S
ÇAKIR MİNİ MARKET,SARIYER,REŞİTPAŞA MAH.,MUHTAR SOKAK NO:56,S
DEMİRCİKÖY MARKET,SARIYER,DEMİRCİKÖY,DEMİRCİKÖY MAH.DEMİRCİKÖY CAD.NO:33A/SARIYER,S
EMEK SÜPER MARKET,SARIYER,K.KARABEKİR PAŞA,K.KARABEKİRPAŞA MAH EMEK SK NO:10/A,S
GÜMÜŞDERE MARKET,SARIYER,GÜMÜŞDERE MAH.,GÜMÜŞDERE MAH. EĞİTİM SOK. NO:2/A,S
HİLAL FIRAT GIDA,SARIYER,BALTALİMANI MAH,AYDINER SOK NO32,S
HİLAL GIDA,SARIYER,POLİGON MAH.,BAĞLAR CD. NO 20,S
KARAHAN MARKET,SARIYER,DERBENT MAH,ARI SK NO 11,S
KARDEŞLER GIDA,SARIYER,RUMELİ KAVAĞI MAH.,İSKELE CD. NO 9,S
KARYA GIDA,SARIYER,REŞİTPAŞA MH.,KOCATEPE SK.NO:4/A,S
KUZU TİCARET,SARIYER,REŞİTPAŞA MAH.,REŞİTPAŞA CAD TUNCAY ARTUN CAD NO:51 /1,S
MAHALLEM GIDA,SARIYER,KAZIM KARABEKİR PAŞA MAH,KAZIM KARABEKİR PAŞA MAH KAZIM KARABEKİR CAMİ SK NO:45/A,S
ONUR GIDA,SARIYER,POLİGON MAH,POLİGON MAH POLİGON CAD NO:9,S
ÖZMEN KUAFÖR,SARIYER,PINAR MAH,ÇAMLIBEL CD NO 144,S
SÜRMENE GIDA,SARIYER,Bahçeköy Kemer Mah. Şht. Cengiz Topel Cad No:45,Bahçeköy Kemer Mah. Şht. Cengiz Topel Cad No:45,S
ŞAHİN BAKKAL,SARIYER,EMİRGAN MAH,POSTAYOLU CD. NO 85,S
UMUT GIDA,SARIYER,KAZIM KARABEKİR PAŞA MAH.,ÖZ KAVAKLIDERE SK.NO:32/B SARIYER,S
ZENGİNLER GIDA,SARIYER,YEŞİLTEPE MH.,G 1 SK NO 6,S
GÜMÜŞYAKA BÜFE,SİLİVRİ,GÜMÜŞYAKA MAH,DEĞİRMENKÖY İETT DURAĞI YANI,B
SİLİVRİ 1 BÜFE,SİLİVRİ,YENİ MAH.,MÜJDAT GÜRSU CAD. ve SEVCİHAN,B
AYŞE KALYONCU-S.BEYLİ PELİT BÜ,SULTANBEYLİ,ADİL,ADİL MAH.VAHDET CAD.PELİT SOK.,B
HÜSEYİN KÖMÜRCÜ - S.BEYLİ HİLAL,SULTANBEYLİ,NECİP FAZIL,N.FAZIL MAH.YOZGAT CAD.NO.2,B
AKKUM GIDA,SULTANBEYLİ,MEHMET AKİF,MEHMET AKİF MAH.HAYAT CAD. NO:101/1-B,S
AYBASTI GIDA,SULTANBEYLİ,ABDURAHMANGAZİ MAH.,ABDURAHMANGAZİ MAH.KADEM SK.NO 1 A,S
CANBAZ GIDA,SULTANBEYLİ,MECİDİYE MAH.,MECİDİYE MAH.AKARÇAY SK.NO 13A,S
ENES GIDA,SULTANBEYLİ,FATİH MAH.,FATİH MAH.ATEŞ SOK.NO.10,S
ENFA GIDA,SULTANBEYLİ,BATTALGAZİ,BATTALGAZİ MAH. SELÇUKHAN CAD.NO:54,S
İNCİVAN MARKET,SULTANBEYLİ,YAVUZ SELİM MAH.,YAVUZSELİM MAH.TOROS CD.NO 24,S
NAZLI EGE GIDA,SULTANBEYLİ,HAMİDİYE,HAMİDİYE MAH. EYYUBİ CAD.NO:49/A,S
TÜRKMEN 2 GIDA,SULTANBEYLİ,ABDURAHMAN GAZİ MAH.,ABDURRAHMAN GAZİ MAH.LOKMAN HEKİM SK.NO 10,S
TÜRKMEN GIDA,SULTANBEYLİ,AHMET YESEVİ MAH. İHTİBAS SOKAK NO:18,İKTİBAS SOKAK NO:18,S
YILDIZ UNLU MAM.,SULTANBEYLİ,MEHMET AKİF MAH.,MEHMET AKİF MAH.ZİYA ÜLHAK CAD.,S
HABİBLER BEYZA BÜFE,SULTANGAZİ,Esenler Habipler,VEFA POYRAZ CAD. NO: 26,B
50. Yıl 1,SULTANGAZİ,50. Yıl,50 nci Yıl Mh. O cd. Sultangazi,B
50. Yıl 2,SULTANGAZİ,Uğur Mumcu,Uğur Mumcu mh.2115 sk.no:bila,B
50. Yıl 3,SULTANGAZİ,50. Yıl,50 nci Yıl mh.B cd. Sultangazi,B
Cebeci 1,SULTANGAZİ,Cebeci,1. Cebeci Yolu Cad. 2550. Sk. Cebeci Mah.,B
Cebeci 2,SULTANGAZİ,Cebeci,Cebeci Mh.Cebeci Yolu Huzur İETT Durağı yanı,B
Cumhuriyet,SULTANGAZİ,Cumhuriyet,Cumhuriyet mh.Necip Fazıl cd.Çamlık parkı karşısı,B
Esentepe 1,SULTANGAZİ,Esentepe,Esentepe mh.2368 sk.No.66 Sultangazi,B
Esentepe 2,SULTANGAZİ,Esentepe,Esentepe mh.2419 sk.Otobüs son durağı,B
ESENTEPE 3 BÜFE,SULTANGAZİ,ESENTEPE MAH,2396 SOK,B
Evrenli,SULTANGAZİ,Sultan Çiftliği,Ordu cd 18 nci sk köşesi,B
Fabrika,SULTANGAZİ,Esentepe,Esentepe mh.2492 sk.Cebeci İşletme Büfe,B
Gazi 1,SULTANGAZİ,Zübeyde Hanım,Zübeydehanım mh.1293 sk.H hanım cami karşısı,B
Gazi 2,SULTANGAZİ,Gazi,Gazi Mh.1425 sk.No:2,B
GAZİ 3 BÜFE,SULTANGAZİ,GAZİ MAH,İSMETPAŞA CAD.LİSE OTBÜS DURAĞI,B
Gazi 4,SULTANGAZİ,Yunus Emre,Yunus Emre Mh.Adem Yavuz Cd.1407/ 2 kesişimi,B
Gazi 5,SULTANGAZİ,Zübeyde Hanım,Yeşilpınar mh.Özle sk.No:29,B
Gazi Başar,SULTANGAZİ,75. Yıl,75.Yıl Mh.1260 Sk.No:265/5,B
Habibler,SULTANGAZİ,Habipler,Habibler Mh.4/1 cd.Muhtarlık Önü,B
Hamarat,SULTANGAZİ,Cebeci,Cebeci mh. 2496 sk.No: 38,B
İsmetpaşa 1,SULTANGAZİ,İsmet Paşa,İsmetpaşa mh.95 –85 sk kesişimi,B
İsmetpaşa 2,SULTANGAZİ,İsmet Paşa,İsmetpaşa mh. 114 sk.no:38,B
İSMETPAŞA 3 BÜFE,SULTANGAZİ,İSMETPAŞA,ESKİ EDİRNE ASFALTI NO.728,B
Malkoçoğlu,SULTANGAZİ,Malkoçoğlu,Malkoçoğlu mh. Muhtarlık yanı.sk.no:3d:42/3,B
Siteler,SULTANGAZİ,Cumhuriyet,Cumhuriyet Mh.Safahat Cad. Siteler Camii Önü,B
Sultan 1,SULTANGAZİ,İsmet Paşa,CEBECİ MH. ATATÜRK BLV. CAMİİ DURAĞI NO:5,B
SULTAN 2 BÜFE,SULTANGAZİ,SULTANÇİFTLİĞİ,ATATÜRK BULVARI İLE ORDU CADDESİ KESİŞİMİ,B
Uğur Mumcu 1,SULTANGAZİ,Uğur Mumcu,Uğur Mumcu mh.2288 sk. .No:35,B
UĞURMUMCU 2 BÜFE,SULTANGAZİ,Uğur Mumcu,Uğurmumcu mh.Eski Edirne Asvaltı L Cad.,B
UĞURMUMCU 3 BÜFE,SULTANGAZİ,UĞUR MUMCU MAH.,MUHSİN YAZICIOĞLU CAD UĞURMUMCU PARK ÖNÜ,B
Yunus Emre,SULTANGAZİ,Yunus Emre,Gazi Mh.1391 sk.No:47,B
@MARKET,SULTANGAZİ,CEBECİ MAH.,CEBECİ MAH.ÇANAKKALE ŞEHİTLER CAD.2586/2 SK.NO:5/1A,S
BEREKETLİ S.MARKET,SULTANGAZİ,50 YIL,50 YIL MAH 1 CD NO 77/B,S
CEBECİ 3 GIDA,SULTANGAZİ,CEBECİ MH.,Y CD 2512 SK.,S
ÇINAR GIDA,SULTANGAZİ,İSMET PAŞA,İSMET PAŞA MAH 154 SK NO 24,S
ÇİFTLİK GIDA,SULTANGAZİ,75.YIL,75.YIL MAH.1338 SK.NO:16/2,S
DOĞAN GIDA,SULTANGAZİ,,HABİBLER ARABA KONAĞI MEVKİİ,S
DOSTLAR MARKET,SULTANGAZİ,ESENTEPE,ESENTEPE MAH 2416 NO 19,S
DURU MARKET,SULTANGAZİ,HABİBLER YAYLA MAH.,KADER SK. NO 13,S
ER MAR MARKET,SULTANGAZİ,CEBECİ MAH.,ÇANAKKALE ŞHT.77 B,S
ERAY GIDA,SULTANGAZİ,UĞURMUMCU MAH,G CD. NO47,S
ERTEN HALK EKMEK,SULTANGAZİ,SULTANÇİFLİĞİ MAH,170 SK NO 46,S
GÜL MARKET,SULTANGAZİ,UĞUR MUMCU MAH,2119 SK NO 18,S
GÜL MARKET,SULTANGAZİ,UĞUR MUMCU,UĞUR MUMCU MAH 2119 SK NO 18,S
HACIOĞLU MARKET,SULTANGAZİ,50 YIL,50 YIL MAH A CD 93/1,S
KOYUNCULAR GIDA,SULTANGAZİ,GAZİ MAH,1366/1 SK NO 19,S
KÖYMEN GIDA,SULTANGAZİ,ESENTEPE,ESENTEPE MAH 2853 SOK.NO 7,S
KRAL MARKET,SULTANGAZİ,CEBECİ,CEBECİ MH 2464 SK NO 25,S
MELEK MARKET,SULTANGAZİ,50 YIL MAH,C CAD NO 19,S
MELEK MARKET,SULTANGAZİ,,50 YIL MH. A CD NO 4,S
MERCAN GIDA,SULTANGAZİ,ESENTEPE,ESENTEPE MAH.H.AHMET YESEVİ CAD.NO 2/A,S
MURAT MARKET,SULTANGAZİ,50 YIL,50 YIL MAH 2144 SK NO 18,S
NARMAN AMBALAJ GIDA,SULTANGAZİ,50 YIL MAH,50.YIL MAH. D CD 2182 SK NO:25,S
ÖZ FIRAT GIDA,SULTANGAZİ,ESENTEPE MAH,2393 SK NO 10,S
ÖZCAN MARKET,SULTANGAZİ,YUNUS EMRE MAH.,YUNUS EMRE MAH.1385 SK.NO:23,S
ÖZLEM SU,SULTANGAZİ,UĞUR MUMCU MAH.,2321 SK. K:3 45/A SULTANGAZİ,S
PELİT GIDA,SULTANGAZİ,75 YIL MH,1263 SK N0 27,S
POLAT MARKET,SULTANGAZİ,75 YIL MAH,OKUL CD 1351 SK NO 27,S
ŞAHİN MARKET,SULTANGAZİ,ESENTEPE,ESENTEPE MAH 2384 SK NO 28/A,S
ŞİMŞEK GIDA,SULTANGAZİ,YUNUS EMRE MAH.,YUNUS EMRE MH ADEM YAVUZ CD NO : 1 (AŞIK VEYSEL PARKI),S
YAYLA KÖYÜ GIDA,SULTANGAZİ,YAYLA MH.,YAYLA BULVARI NO 95,S
